Affix,Variant,Definition,Chinese_Character
-lite,0,A mineral or fossil.,未知
-lith,0,A stone or stony structure.,未知
-lithic,0,Stone.,未知
litho-,0,Stone.,未知
-logical,0,Relating to a branch of knowledge or experience.,未知
-logist,0,"A person skilled in, or involved in, a branch of study.",未知
logo-,0,Words or speech.,未知
-logue,0,A type of communication or debate.,未知
-logy,0,A subject of study or interest; speech or language.,未知
lopho-,0,Crested.,未知
lumbo-,0,The lower back or loin.,未知
luteo-,0,Yellow; the corpus luteum.,未知
-ly,0,Forming adjectives and adverbs.,未知
lympho-,0,Lymph.,未知
lyo-,0,Dispersion; dissolution.,未知
-lysis,0,Disintegration or decomposition.,未知
lyso-,0,Disintegration of cells.,未知
-machy,0,Fighting.,未知
macro-,0,Long; large.,未知
magneto-,0,Magnetism or a magnet.,未知
magni-,0,Large; great.,未知
mal-,0,Improperly; badly; wrongly.,未知
-malacia,0,Abnormal softening of a tissue.,未知
malaco-,0,Soft.,未知
Malayo-,0,Malay; Malay and �,未知
mammo-,0,A breast or breasts.,未知
-man,0,A male person of a specified type.,未知
-mancy,0,Divination.,未知
mangano-,0,Manganese.,未知
-mania,0,Mental abnormality or obsession; extreme enthusiasm or admiration.,未知
-manship,0,Skill in a subject or activity.,未知
masto-,0,Breast.,未知
matri-,0,A mother.,未知
maxi-,0,Very large or long.,未知
maxillo-,0,The jaw.,未知
mechano-,0,Mechanical.,未知
medico-,0,Medicine plus another field.,未知
medio-,0,Middle.,未知
mega-,0,Large or great; a factor of one million; a factor of 220.,未知
-megaly,0,Abnormal enlargement of part of the body.,未知
meio-,0,Less or fewer.,未知
-meister,0,A person regarded as skilled or prominent in a specified activity.,未知
melano-,0,Black.,未知
-melia,0,An abnormal condition of a limb.,未知
meningo-,0,The meninges.,未知
meno-,0,Menstruation.,未知
-ment,0,Forming nouns.,未知
-mer,0,Part or segment.,未知
mercapto-,0,The chemical radical �SH.,未知
mero-,0,Partly or partial.,未知
mesio-,0,A midline.,未知
meso-,0,Middle; intermediate.,未知
meta-,0,"Change of position or condition; behind, after, or beyond; of a higher or second-order kind; chemical substitution.",未知
metallo-,0,A metal.,未知
-meter,0,Measuring instrument; unit of measurement.,未知
metho-,0,"The methyl radical, �CH3.",未知
methoxy-,0,"The methoxyl radical, CH3O�",未知
-metric,0,Measurement.,未知
metro-,0,The uterus.,未知
metro-,1,Measurement.,未知
metro-,2,A capital city or other large urban area.,未知
-metropia,0,A condition of the eye.,未知
micro-,0,Small; a factor of one millionth.,未知
mid-,0,Middle; medium; half.,未知
midi-,0,Medium-sized; of medium length.,未知
milli-,0,One thousandth; a thousand.,未知
mini-,0,Very small of its kind.,未知
mis-,0,Various senses with negative implications.,未知
miso-,0,Hatred for or a hater of something.,未知
-mo,0,Book sizes.,未知
-monas,0,Simple microorganisms.,未知
-monger,0,A dealer or trader.,未知
mono-,0,One; alone; single.,未知
-mony,0,Forming nouns.,未知
-morph,0,A specified form or character.,未知
-morpha,0,Animal groupings.,未知
morpho-,0,Form or character.,未知
-most,0,Superlative adjectives and adverbs.,未知
muco-,0,Mucus.,未知
multi-,0,More than one; many.,未知
musculo-,0,Muscle.,未知
-myces,0,Bacteria or fungi.,未知
-mycin,0,An antibiotic compound derived from fungi.,未知
myco-,0,Fungi or fungal.,未知
myelo-,0,Bone marrow; the spinal cord.,未知
myo-,0,Muscle.,未知
myringo-,0,The eardrum.,未知
myrmeco-,0,An ant or ants.,未知
mytho-,0,Myth.,未知
myxo-,0,Mucus.,未知
n-,0,Normal; number; negative.,未知
nano-,0,"In units of measurement, a factor of 10-9.",未知
-nap,0,Abduct in order to extract a ransom.,未知
naphtho-,0,Napthalene.,未知
narco-,0,"Stupor, drowsiness, or insensibility; the illicit production and use of drugs.",未知
naso-,0,The nose.,未知
-nasty,0,Nastic movement.,未知
natro-,0,Sodium.,未知
-naut,0,A literal or figurative voyager.,未知
necro-,0,Death; a corpse.,未知
nega-,0,Negative.,未知
nemato-,0,Thread-like in shape.,未知
neo-,0,New.,未知
nepho-,0,Cloud.,未知
nephro-,0,A kidney or the kidneys.,未知
-ness,0,A state or condition.,未知
neuro-,0,Nerves or the nervous system.,未知
neutro-,0,Neutral.,未知
nigro-,0,Black.,未知
-nik,0,A person associated with a specified thing or quality.,未知
nitro-,0,"Containing nitrogen, nitric acid, or nitrates.",未知
noci-,0,Pain.,未知
nocti-,0,Night.,未知
nomo-,0,Law.,未知
-nomy,0,A specified area of knowledge or the laws governing it.,未知
non-,0,Not.,未知
nona-,0,Nine; having nine.,未知
noo-,0,The mind.,未知
nor-,0,An organic compound that is the parent of another.,未知
normo-,0,Normal; close to the average.,未知
noso-,0,Disease.,未知
nuci-,0,A nut.,未知
nucleo-,0,Nucleus; nuclear; nucleic acid.,未知
nudi-,0,Naked.,未知
nulli-,0,Nothing.,未知
nycto-,0,Night.,未知
-o-,0,A linking vowel.,未知
-o,0,Marking informally shortened or slang nouns.,未知
ob-,0,"Towards, to, on, over, or against.",未知
occipito-,0,The occipital bone.,未知
-ock,0,Forming nouns.,未知
octo-,0,Eight; having eight.,未知
oculo-,0,The eye or the sense of vision.,未知
-ode,0,Like; of the nature of.,未知
-ode,1,A conductor of electricity.,未知
-odont,0,Teeth; toothed.,未知
-odontics,0,Specialisms in dentistry.,未知
odonto-,0,A tooth or teeth.,未知
-odynia,0,Pain.,未知
oeno-,0,Wine.,未知
oesophago-,0,The oesophagus.,未知
-oic,0,A carboxyl group or its derivative.,未知
-oid,0,Like; resembling.,未知
-ol,0,An alcohol or phenol.,未知
-ola,0,Diminutives; trade names; humorous or dismissive formations.,未知
-ole,0,Organic chemical compounds.,未知
-ole,1,Forming nouns.,未知
oleo-,0,Relating to or containing oil.,未知
oligo-,0,A small number; having few.,未知
-oma,0,A tumour or other abnormal growth.,未知
ombro-,0,Rain; moisture.,未知
-ome,0,Having a specified nature.,未知
omni-,0,Of all things; in all places.,未知
omphalo-,0,The navel; the umbilical cord.,未知
-on,0,Subatomic particles or quanta; molecular units.,未知
-on,1,Inert gases.,未知
onco-,0,A tumour.,未知
-one,0,"Various chemical compounds, especially ketones.",未知
oneiro-,0,Dreams or dreaming.,未知
-onic,0,Organic acids.,未知
-ont,0,An individual or cell of a specified type.,未知
onto-,0,Existence or being.,未知
-onychia,0,A condition of the nails.,未知
onycho-,0,The nails.,未知
-onym,0,A name.,未知
oo-,0,An egg or ovum.,未知
-oon,0,Forming nouns and derived verbs.,未知
oophoro-,0,The ovary.,未知
ophio-,0,A snake.,未知
ophthalmo-,0,The eyes.,未知
-opia,0,A visual disorder.,未知
opistho-,0,Behind; to the rear.,未知
-opsia,0,A defect of vision.,未知
-opsis,0,Observation or perception; likeness.,未知
-opsy,0,Medical examination.,未知
opto-,0,Vision; light.,未知
-or,0,Someone or something that performs a given action.,未知
-or,1,Forming nouns denoting an abstract state or condition.,未知
-orama,0,A display or spectacle.,未知
orchido-,0,Testicle; orchid.,未知
organo-,0,Bodily organs; organic chemical compounds.,未知
-orium,0,A place for a particular function.,未知
ornitho-,0,A bird or birds.,未知
oro-,0,Mountains.,未知
oro-,1,The mouth.,未知
ortho-,0,Straight; correct; upright.,未知
-ory,0,A place having a particular function or character.,未知
-ory,1,Relating to or involving an action.,未知
-ose,0,Having a specified quality.,未知
-ose,1,Sugars and other carbohydrates.,未知
-osis,0,"Abstract nouns of action, state, or process.",未知
-osity,0,Forming nouns.,未知
-osmia,0,An abnormal condition of the sense of smell.,未知
osmo-,0,Osmosis.,未知
osteo-,0,The bones.,未知
-otic,0,Forming adjectives and nouns.,未知
oto-,0,The ears.,未知
-our,0,Forming nouns.,未知
-ous,0,Forming adjectives.,未知
out-,0,Surpassing; external; away from.,未知
ovario-,0,An ovary.,未知
over-,0,Excessively; extra; outer; above.,未知
ovi-,0,"Eggs, ova.",未知
oxy-,0,"Sharp, acid.",未知
oxy-,1,Oxygen.,未知
pachy-,0,Thick.,未知
paedo-,0,Child; relating to children.,未知
-pagus,0,Conjoined twins.,未知
palaeo-,0,Ancient.,未知
palato-,0,Palate.,未知
palin-,0,Again.,未知
pan-,0,All-inclusive.,未知
pancreato-,0,The pancreas.,未知
papillo-,0,A papilla.,未知
papulo-,0,A papule.,未知
para-,0,Beside; adjacent to.,未知
para-,1,Protection; parachuting.,未知
parieto-,0,Body cavity; hollow structure.,未知
-parous,0,Bearing; producing.,未知
partheno-,0,Without fertilization.,未知
patho-,0,Disease.,未知
-pathy,0,Disease or disorder; treatment of disease.,未知
patri-,0,Father.,未知
-ped,0,Having feet of a given type or number.,未知
pedi-,0,Foot.,未知
-pedia,0,Compendium of information.,未知
pedo-,0,Soil or soil types.,未知
pelvi-,0,The pelvis.,未知
pene-,0,Almost; nearly.,未知
-penia,0,Deficiency in a component of the blood.,未知
penta-,0,Five; having five.,未知
per-,0,Through; all over; completely.,未知
peri-,0,Round; about.,未知
pero-,0,Deformity.,未知
-person,0,Gender-neutral alternative to �man� in compounds.,未知
peta-,0,"In units of measurement, a factor of 1015.",未知
-petal,0,Seeking; moving towards.,未知
petro-,0,Rocks; petroleum.,未知
-pexy,0,Surgical operation for fixing an organ in position.,未知
phaco-,0,Lens of the eye; lens shaped.,未知
phaeo-,0,Dusky.,未知
phago-,0,"Feeding, eating.",未知
-phagy,0,Feeding or subsisting on a specified food.,未知
phallo-,0,Penis.,未知
-phane,0,Having a given appearance.,未知
phanero-,0,Visible.,未知
pharmaco-,0,"Drugs, medicines.",未知
pharyngo-,0,Pharynx.,未知
-phasia,0,Speech disorder.,未知
pheno-,0,Benzene compounds; showing.,未知
-phile,0,Lover of or enthusiast for; having an affinity with a given thing.,未知
philo-,0,Liking for a specified thing.,未知
phlebo-,0,A vein.,未知
-phobia,0,Extreme or irrational fear or dislike.,未知
-phone,0,Sound.,未知
phono-,0,Sound.,未知
-phore,0,"An agent, bearer, or producer of a specified thing.",未知
phospho-,0,Phosphorus; light.,未知
photo-,0,Light; photography.,未知
-phrenia,0,Mental disorder.,未知
-phyceae,0,Alga.,未知
phyco-,0,Seaweeds and algae.,未知
-phyll,0,Leaf.,未知
phyllo-,0,Leaf.,未知
phylo-,0,Race; group.,未知
-phyre,0,Porphyritic rocks.,未知
physico-,0,Physical; physical and �,未知
physio-,0,Nature; physiology.,未知
physo-,0,Air or gas.,未知
-phyte,0,A plant or plant-like organism.,未知
phyto-,0,A plant.,未知
pico-,0,"In units of measurement, a factor of 10-12.",未知
picro-,0,Bitter tasting; picric acid.,未知
piezo-,0,Pressure.,未知
pilo-,0,Hair.,未知
pinni-,0,"Wings, fins, or feathers.",未知
pisci-,0,Fish.,未知
-pithecus,0,Genera of fossil apes.,未知
placo-,0,A plate.,未知
plagio-,0,Oblique.,未知
plano-,0,Level or flat.,未知
-plasm,0,Growth or development; living substance; tissue.,未知
plasmo-,0,Plasma or plasm.,未知
-plasty,0,Reconstructive surgery.,未知
platino-,0,Platinum.,未知
platy-,0,Broad or flat.,未知
-plegia,0,Paralysis.,未知
pleo-,0,More.,未知
pleuro-,0,The pleurae; the side of the body.,未知
-plex,0,Having a given number of parts or units.,未知
-ploid,0,The number of sets of chromosomes in a cell.,未知
-ploitation,0,Commercial exploitation in film and other media.,未知
plumbo-,0,Lead.,未知
pluri-,0,Several.,未知
pneumo-,0,The lungs; air or gas; spirit.,未知
-pnoea,0,"Breath, respiration.",未知
-pod,0,Foot or feet.,未知
podo-,0,Foot.,未知
-poiesis,0,"Production, formation.",未知
poikilo-,0,Variegated; variable.,未知
polio-,0,Tissue in the nervous system; grey matter.,未知
-polis,0,A city.,未知
politico-,0,Politically; political and �,未知
poly-,0,"Many, much.",未知
porno-,0,Pornography.,未知
poro-,0,A pore.,未知
post-,0,After in time or order.,未知
postero-,0,Posterior.,未知
-praxia,0,Action; practice.,未知
pre-,0,Prior to; before; earlier; in front of.,未知
presby-,0,Elder; aging or old age.,未知
preter-,0,More than.,未知
pro-,0,"Favour or support; forwards, out, or away; substitute or deputy.",未知
pro-,1,"Before in time, place, order, etc.",未知
procto-,0,Anus or rectum.,未知
prop-,0,A three-carbon chain of atoms.,未知
proso-,0,"Towards, forward, anterior.",未知
prosopo-,0,Face; person.,未知
proteo-,0,Protein.,未知
proto-,0,Original or first; primitive or ancestral.,未知
pseudo-,0,False; imitative.,未知
psilo-,0,"Bare, smooth.",未知
psycho-,0,The mind; psychology.,未知
-ptera,0,Winged animals.,未知
pterido-,0,A fern.,未知
ptero-,0,A wing.,未知
pterygo-,0,Wing-like.,未知
ptyalo-,0,Saliva; salivary gland.,未知
pur-,0,"Forwards, out, or away.",未知
pycno-,0,Compact; dense.,未知
pyelo-,0,The pelvis of the kidney.,未知
pygo-,0,The buttocks.,未知
pyloro-,0,The pylorus.,未知
pyo-,0,Pus.,未知
pyro-,0,Fire.,未知
quadri-,0,Four; having four parts; square.,未知
quasi-,0,Seemingly; apparently but not really; partly or almost.,未知
quinque-,0,Five; having five parts.,未知
quinti-,0,Five; the fifth in a series.,未知
rachi-,0,The spine.,未知
radio-,0,Radiation; radio waves.,未知
radio-,1,The radius bone.,未知
re-,0,Again; back.,未知
recti-,0,Straight; right; correct.,未知
recto-,0,The rectum.,未知
-rel,0,Forming nouns.,未知
reni-,0,The kidneys; kidney-shaped.,未知
reticulo-,0,Net-like; reticulated.,未知
retino-,0,The retina.,未知
retro-,0,Directed backwards; behind.,未知
rhabdo-,0,A rod or rodlike structure.,未知
rheo-,0,Current or flow.,未知
rhino-,0,The nose.,未知
rhizo-,0,A root or roots.,未知
rhodo-,0,Rose-coloured.,未知
rhyncho-,0,Snout or beak.,未知
roentgeno-,0,X-rays.,未知
Romano-,0,Roman; Roman and �,未知
-rrhagia,0,An excessive flow or discharge.,未知
-rrhaphy,0,Surgical sewing or suturing.,未知
-rrhoea,0,Discharge; flow.,未知
Russo-,0,Russian; Russian and �,未知
-s,0,Noun plurals.,未知
-s,1,Third person singular of the present tense of verbs.,未知
-s,2,Nicknames or pet names.,未知
-s',0,Plural possessive nouns.,未知
saccharo-,0,Sugar.,未知
sacro-,0,Sacrum.,未知
salpingo-,0,Fallopian tube.,未知
-san,0,Japanese honorific.,未知
sangui-,0,Blood.,未知
sapro-,0,Putrefaction or decay.,未知
sarco-,0,Flesh or fleshy tissue; muscle.,未知
-saur,0,"Reptiles, especially extinct ones.",未知
sauro-,0,Lizard.,未知
-scape,0,"A specified type of scene, or a representation of it.",未知
scapho-,0,Boat-shaped.,未知
scapulo-,0,The shoulder blade.,未知
scato-,0,Dung or excrement.,未知
schisto-,0,Fissure or split.,未知
schizo-,0,Divided or split.,未知
sclero-,0,Hard; hardening.,未知
-scope,0,"An instrument for observing, viewing, or examining something.",未知
Scoto-,0,Scotland or the Scots; Scotland and �,未知
scoto-,1,Darkness.,未知
scypho-,0,Cup-shaped.,未知
se-,0,Apart; without.,未知
sebo-,0,"Oil, fat, or grease.",未知
-sect,0,Divided or cut.,未知
seismo-,0,An earthquake.,未知
seleno-,0,The moon.,未知
seleno-,1,Selenium.,未知
self-,0,"Oneself, itself.",未知
semi-,0,Half; a part.,未知
semio-,0,Sign; communication.,未知
-sepalous,0,Having sepals of a given type.,未知
septi-,0,Seven.,未知
Serbo-,0,Serbian; Serbian and �,未知
seric-,0,Silk.,未知
sero-,0,Serum; a serous membrane.,未知
sesqui-,0,One and one half.,未知
seti-,0,A bristle.,未知
sexi-,0,Six.,未知
-ship,0,Forming abstract nouns.,未知
sialo-,0,Saliva; salivary gland.,未知
sidero-,0,Iron.,未知
silico-,0,Silicon.,未知
sinistro-,0,Left; the left side; left-handed.,未知
sino-,0,A sinus.,未知
Sino-,1,Chinese; China and �,未知
siphono-,0,Siphon.,未知
sito-,0,Food.,未知
Slavo-,0,Slavs; Slavonic languages in relation to others.,未知
-smith,0,A skilled worker with a specified material.,未知
-soever,0,Of any kind; to any extent.,未知
-sol,0,Soil.,未知
somato-,0,The body.,未知
-some,0,Forming adjectives.,未知
-some,1,A group of a specified number.,未知
-some,2,"A part of a body, especially a cell.",未知
-something,0,A person whose age falls into a given decade.,未知
somni-,0,Sleep.,未知
sono-,0,Sound.,未知
-sophy,0,A system of thought.,未知
sous-,0,Subordinate; beneath.,未知
spasmo-,0,A spasm.,未知
-speak,0,A manner of speaking.,未知
spectro-,0,Spectrum.,未知
-sperm,0,Seed.,未知
spermato-,0,Semen or sperm.,未知
spheno-,0,Wedge-shaped.,未知
-sphere,0,A broadly spherical object or region.,未知
sphero-,0,A sphere; spherical.,未知
sphingo-,0,Compounds isolated from the brain and nervous tissue.,未知
sphygmo-,0,The pulse.,未知
spini-,0,Thorn or spine; the spine or spinal cord.,未知
spiro-,0,Spiral; coiled.,未知
spiro-,1,The breath; breathing.,未知
splanchno-,0,The viscera; intestines.,未知
spleno-,0,The spleen.,未知
spondylo-,0,A vertebra.,未知
spongio-,0,A sponge; sponge-like.,未知
-spore,0,A spore.,未知
sporo-,0,A spore.,未知
squamo-,0,A scale.,未知
stanno-,0,Tin.,未知
staphylo-,0,The uvula; a bunch or cluster.,未知
-stasis,0,Slowing down; stopping.,未知
-stat,0,Something that maintains a controlled state.,未知
stato-,0,Resting; equilibrium; balance.,未知
steato-,0,Fat.,未知
stego-,0,Covered; hidden.,未知
steno-,0,Small; constricted.,未知
step-,0,A relationship resulting from a remarriage.,未知
-ster,0,A person or thing associated with an activity or quality.,未知
stercor-,0,Faeces; dung.,未知
stereo-,0,Solid; three-dimensional.,未知
sterno-,0,The breastbone or sternum.,未知
-sterol,0,A sterol.,未知
-sterone,0,A steroid hormone.,未知
stibo-,0,Antimony.,未知
stomato-,0,The mouth; a opening.,未知
-stome,0,A mouth.,未知
-stomy,0,A surgical operation to create an opening in an organ.,未知
strati-,0,A layer; layered.,未知
strepto-,0,Twisted.,未知
-stress,0,A female person associated with a specific activity.,未知
-style,0,In a characteristic manner.,未知
-style,1,Having columns of a specified type.,未知
stylo-,0,Style; stylus.,未知
stylo-,1,"A column, pillar, or tube.",未知
sub-,0,A lower level or position; somewhat or nearly; secondary action.,未知
sulpha-,0,A drug derived from sulphanilamide.,未知
sulpho-,0,Sulphur.,未知
super-,0,"Above, over, or beyond; great or large; of a higher kind.",未知
supra-,0,Over or above; transcending.,未知
sur-,0,"Over, above, beyond; additional.",未知
-sy,0,Forming nouns and adjectives.,未知
syn-,0,United; acting or considered together; alike.,未知
synchro-,0,Synchronous.,未知
syndesmo-,0,"Connective tissue, especially ligaments.",未知
syringo-,0,A tube or long cavity; a fistula.,未知
tacho-,0,Speed.,未知
tachy-,0,Rapid.,未知
taeni-,0,Ribbon; tapeworm.,未知
talo-,0,The ankle bone.,未知
-tard,0,"Mainly in the US, a stupid or annoying person.",未知
tarso-,0,The tarsus.,未知
-tastic,0,"Something outstanding, superb, or excellent.",未知
tauro-,0,Ox or bull.,未知
tauto-,0,The same.,未知
-taxis,0,Arrangement or order; movement in response to an external stimulus.,未知
taxo-,0,"Order, arrangement, classification.",未知
-technics,0,A technology or skill.,未知
techno-,0,"Technology, especially its impact or implications.",未知
tectono-,0,Tectonics.,未知
-teen,0,Forming the names of numerals from 13 to 19.,未知
tele-,0,To or at a distance.,未知
teleo-,0,Perfect; complete.,未知
telluro-,0,Tellurium; the earth.,未知
telo-,0,End; purpose.,未知
temporo-,0,The temporal bones.,未知
-tene,0,Stages in cell division.,未知
teno-,0,A tendon.,未知
tephro-,0,Ash; ash-coloured.,未知
ter-,0,Three; having three.,未知
tera-,0,"In units of measurement, a factor of 1012, a million million.",未知
terato-,0,Monsters or abnormal forms.,未知
-teria,0,A self-service establishment.,未知
tetano-,0,Tetanus.,未知
tetra-,0,Four; having four.,未知
-th,0,Forming ordinal and fractional numbers.,未知
-th,1,Forming nouns.,未知
thalamo-,0,The thalamus.,未知
thalasso-,0,The sea.,未知
thallo-,0,A thallus; thallium.,未知
thanato-,0,Death.,未知
thaumato-,0,Wonder or miracle.,未知
-thelium,0,A layer of body tissue.,未知
theo-,0,God or deities.,未知
therio-,0,An animal.,未知
-therium,0,An animal genus.,未知
-therm,0,Temperature; heat.,未知
thermo-,0,Heat; temperature.,未知
thio-,0,Sulphur,未知
thoraco-,0,The chest or thorax.,未知
thrombo-,0,Blood clotting.,未知
-thymia,0,A condition of the mind.,未知
thymo-,0,The thymus.,未知
thyro-,0,The thyroid.,未知
tibio-,0,The tibia.,未知
-tide,0,A festival of the Christian Church; a specified time or season.,未知
titano-,0,"Gigantic, huge.",未知
titano-,1,Titanium.,未知
toco-,0,Childbirth; reproduction.,未知
-tome,0,An instrument for cutting; a section or segment.,未知
-tomy,0,Cutting.,未知
-tonia,0,Muscle tone or tension; a personality state.,未知
tono-,0,tension; tone.,未知
-topia,0,A place with specified characteristics.,未知
topo-,0,Place; position.,未知
toxi-,0,Toxin; toxic.,未知
tracheo-,0,The trachea.,未知
trans-,0,Across; beyond; through.,未知
tri-,0,Three; having three.,未知
tribo-,0,Friction.,未知
tricho-,0,Hair.,未知
-trichous,0,Hairy; having hair.,未知
trito-,0,Third.,未知
-trix,0,Forming feminine agent nouns.,未知
trocho-,0,Wheel-like.,未知
-tron,0,A subatomic particle; an instrument or device.,未知
-trope,0,Form; type; affinity.,未知
-trophic,0,Nutrition; feeding.,未知
tropho-,0,Nourishment.,未知
-tropic,0,Turning; changing; affecting.,未知
-tropism,0,Preferential growth or movement of an organism.,未知
tropo-,0,Turning; change.,未知
-tropy,0,Forming nouns that correspond to adjectives in -tropic.,未知
tubo-,0,A tube.,未知
-tude,0,Forming abstract nouns.,未知
turbo-,0,A turbine.,未知
Turco-,0,Turkish; Turkish and �,未知
-ty,0,Forming nouns.,未知
-ty,1,Groups of ten.,未知
tympano-,0,The drum or eardrum.,未知
uber-,0,Superior.,未知
-ula,0,Forming diminutive nouns.,未知
-ule,0,Forming nouns.,未知
-ulent,0,Abounding in; full of.,未知
ulno-,0,The ulna.,未知
ultra-,0,Beyond; extreme.,未知
un-,0,Negation; reversal of a state.,未知
-uncle,0,"Forming nouns, chiefly diminutives.",未知
undeca-,0,Eleven.,未知
under-,0,Below.,未知
uni-,0,One; having or consisting of one.,未知
unnil-,0,Certain transuranic elements.,未知
up-,0,Up; upwards; higher; increased.,未知
-up,0,An activity.,未知
ur-,0,Primitive; original; earliest.,未知
urano-,0,The heavens; the palate.,未知
urano-,1,Uranium.,未知
ure-,0,Urea.,未知
-ure,0,Forming nouns.,未知
-ure,1,Forming nouns.,未知
-uret,0,A binary compound.,未知
uretero-,0,The ureter.,未知
urethro-,0,The urethra.,未知
-urgy,0,The art or process for working with something.,未知
-uria,0,"A substance present in the urine, especially in excess.",未知
urino-,0,Urine; the urinary system.,未知
uro-,0,The tail or the tail part of the body.,未知
uro-,1,Urine or the urinary organs.,未知
utero-,0,The uterus.,未知
-ution,0,Forming nouns.,未知
vagino-,0,The vagina.,未知
vago-,0,The vagus nerve.,未知
-valent,0,Combining power.,未知
varico-,0,A varicose vein.,未知
vaso-,0,A vessel.,未知
veno-,0,A vein.,未知
ventriculo-,0,A ventricle.,未知
vermi-,0,A worm.,未知
vesico-,0,A blister; the urinary bladder.,未知
vibro-,0,Oscillation; shaking.,未知
vice-,0,Deputy; assistant.,未知
viginti-,0,Twenty.,未知
-ville,0,A fictitious place indicating some quality.,未知
vini-,0,Wine.,未知
viro-,0,A virus.,未知
viscero-,0,The viscera.,未知
visco-,0,Sticky; thick.,未知
visuo-,0,Sight; vision.,未知
vitelli-,0,The yolk of an egg.,未知
vitro-,0,Glass; glassy.,未知
vivi-,0,Alive; living.,未知
-vore,0,An organism living on a given type of food.,未知
vulvo-,0,"The female external genitals, the vulva.",未知
-ward,0,In a specified direction.,未知
-ware,0,Items of a specified type or for a given purpose; classes of computer applications.,未知
-ways,0,"Way, direction, or manner.",未知
-wide,0,Extending throughout the specified area or scope.,未知
-wise,0,In a given way or manner; with respect to or concerning.,未知
with-,0,"Away, back, against, in opposition to.",未知
-woman,0,Woman.,未知
-word,0,In reference to a word that may be offensive.,未知
-work,0,Things made of a specified material or in a particular way.,未知
-worthy,0,Deserving; suitable or fit for.,未知
-x,0,Forming the plural of many nouns ending in -u taken from French.,未知
xantho-,0,Yellow.,未知
xeno-,0,Foreign; different.,未知
xero-,0,Dry.,未知
xipho-,0,Sword; sword-shaped.,未知
xylo-,0,Wood.,未知
y-,0,An archaic form marking the past participle.,未知
-y,0,Full of; having the quality of; inclined to; apt to.,未知
-y,1,"Forming affectionate or pet names, or nouns that imply smallness.",未知
-y,2,"A quality, state, action, or entity.",未知
yester-,0,Yesterday.,未知
-yl,0,Forming names of chemical radicals.,未知
-yne,0,Hydrocarbons containing a triple bond.,未知
zetta-,0,"In units of measurement, a factor of 1021 or one sextillion.",未知
-zoic,0,Relating to a given geological aeon or era.,未知
zoo-,0,Animal; animal life.,未知
-zoon,0,Types of animal.,未知
zygo-,0,Joining or pairing.,未知
zymo-,0,Enzymes or fermentation.,未知
