Affix,Variant,Definition
"-lite",0,A mineral or fossil.
"-lith",0,A stone or stony structure.
"-lithic",0,Stone.
"litho-",0,Stone.
"-logical",0,Relating to a branch of knowledge or experience.
"-logist",0,"A person skilled in, or involved in, a branch of study."
"logo-",0,Words or speech.
"-logue",0,A type of communication or debate.
"-logy",0,A subject of study or interest; speech or language.
"lopho-",0,Crested.
"lumbo-",0,The lower back or loin.
"luteo-",0,Yellow; the corpus luteum.
"-ly",0,Forming adjectives and adverbs.
"lympho-",0,Lymph.
"lyo-",0,Dispersion; dissolution.
"-lysis",0,Disintegration or decomposition.
"lyso-",0,Disintegration of cells.
"-machy",0,Fighting.
"macro-",0,Long; large.
"magneto-",0,Magnetism or a magnet.
"magni-",0,Large; great.
"mal-",0,Improperly; badly; wrongly.
"-malacia",0,Abnormal softening of a tissue.
"malaco-",0,Soft.
"Malayo-",0,Malay; Malay and �
"mammo-",0,A breast or breasts.
"-man",0,A male person of a specified type.
"-mancy",0,Divination.
"mangano-",0,Manganese.
"-mania",0,Mental abnormality or obsession; extreme enthusiasm or admiration.
"-manship",0,Skill in a subject or activity.
"masto-",0,Breast.
"matri-",0,A mother.
"maxi-",0,Very large or long.
"maxillo-",0,The jaw.
"mechano-",0,Mechanical.
"medico-",0,Medicine plus another field.
"medio-",0,Middle.
"mega-",0,Large or great; a factor of one million; a factor of 220.
"-megaly",0,Abnormal enlargement of part of the body.
"meio-",0,Less or fewer.
"-meister",0,A person regarded as skilled or prominent in a specified activity.
"melano-",0,Black.
"-melia",0,An abnormal condition of a limb.
"meningo-",0,The meninges.
"meno-",0,Menstruation.
"-ment",0,Forming nouns.
"-mer",0,Part or segment.
"mercapto-",0,The chemical radical �SH.
"mero-",0,Partly or partial.
"mesio-",0,A midline.
"meso-",0,Middle; intermediate.
"meta-",0,"Change of position or condition; behind, after, or beyond; of a higher or second-order kind; chemical substitution."
"metallo-",0,A metal.
"-meter",0,Measuring instrument; unit of measurement.
"metho-",0,"The methyl radical, �CH3."
"methoxy-",0,"The methoxyl radical, CH3O�"
"-metric",0,Measurement.
"metro-",0,The uterus.
"metro-",1,Measurement.
"metro-",2,A capital city or other large urban area.
"-metropia",0,A condition of the eye.
"micro-",0,Small; a factor of one millionth.
"mid-",0,Middle; medium; half.
"midi-",0,Medium-sized; of medium length.
"milli-",0,One thousandth; a thousand.
"mini-",0,Very small of its kind.
"mis-",0,Various senses with negative implications.
"miso-",0,Hatred for or a hater of something.
"-mo",0,Book sizes.
"-monas",0,Simple microorganisms.
"-monger",0,A dealer or trader.
"mono-",0,One; alone; single.
"-mony",0,Forming nouns.
"-morph",0,A specified form or character.
"-morpha",0,Animal groupings.
"morpho-",0,Form or character.
"-most",0,Superlative adjectives and adverbs.
"muco-",0,Mucus.
"multi-",0,More than one; many.
"musculo-",0,Muscle.
"-myces",0,Bacteria or fungi.
"-mycin",0,An antibiotic compound derived from fungi.
"myco-",0,Fungi or fungal.
"myelo-",0,Bone marrow; the spinal cord.
"myo-",0,Muscle.
"myringo-",0,The eardrum.
"myrmeco-",0,An ant or ants.
"mytho-",0,Myth.
"myxo-",0,Mucus.
"n-",0,Normal; number; negative.
"nano-",0,"In units of measurement, a factor of 10-9."
"-nap",0,Abduct in order to extract a ransom.
"naphtho-",0,Napthalene.
"narco-",0,"Stupor, drowsiness, or insensibility; the illicit production and use of drugs."
"naso-",0,The nose.
"-nasty",0,Nastic movement.
"natro-",0,Sodium.
"-naut",0,A literal or figurative voyager.
"necro-",0,Death; a corpse.
"nega-",0,Negative.
"nemato-",0,Thread-like in shape.
"neo-",0,New.
"nepho-",0,Cloud.
"nephro-",0,A kidney or the kidneys.
"-ness",0,A state or condition.
"neuro-",0,Nerves or the nervous system.
"neutro-",0,Neutral.
"nigro-",0,Black.
"-nik",0,A person associated with a specified thing or quality.
"nitro-",0,"Containing nitrogen, nitric acid, or nitrates."
"noci-",0,Pain.
"nocti-",0,Night.
"nomo-",0,Law.
"-nomy",0,A specified area of knowledge or the laws governing it.
"non-",0,Not.
"nona-",0,Nine; having nine.
"noo-",0,The mind.
"nor-",0,An organic compound that is the parent of another.
"normo-",0,Normal; close to the average.
"noso-",0,Disease.
"nuci-",0,A nut.
"nucleo-",0,Nucleus; nuclear; nucleic acid.
"nudi-",0,Naked.
"nulli-",0,Nothing.
"nycto-",0,Night.
"-o-",0,A linking vowel.
"-o",0,Marking informally shortened or slang nouns.
"ob-",0,"Towards, to, on, over, or against."
"occipito-",0,The occipital bone.
"-ock",0,Forming nouns.
"octo-",0,Eight; having eight.
"oculo-",0,The eye or the sense of vision.
"-ode",0,Like; of the nature of.
"-ode",1,A conductor of electricity.
"-odont",0,Teeth; toothed.
"-odontics",0,Specialisms in dentistry.
"odonto-",0,A tooth or teeth.
"-odynia",0,Pain.
"oeno-",0,Wine.
"oesophago-",0,The oesophagus.
"-oic",0,A carboxyl group or its derivative.
"-oid",0,Like; resembling.
"-ol",0,An alcohol or phenol.
"-ola",0,Diminutives; trade names; humorous or dismissive formations.
"-ole",0,Organic chemical compounds.
"-ole",1,Forming nouns.
"oleo-",0,Relating to or containing oil.
"oligo-",0,A small number; having few.
"-oma",0,A tumour or other abnormal growth.
"ombro-",0,Rain; moisture.
"-ome",0,Having a specified nature.
"omni-",0,Of all things; in all places.
"omphalo-",0,The navel; the umbilical cord.
"-on",0,Subatomic particles or quanta; molecular units.
"-on",1,Inert gases.
"onco-",0,A tumour.
"-one",0,"Various chemical compounds, especially ketones."
"oneiro-",0,Dreams or dreaming.
"-onic",0,Organic acids.
"-ont",0,An individual or cell of a specified type.
"onto-",0,Existence or being.
"-onychia",0,A condition of the nails.
"onycho-",0,The nails.
"-onym",0,A name.
"oo-",0,An egg or ovum.
"-oon",0,Forming nouns and derived verbs.
"oophoro-",0,The ovary.
"ophio-",0,A snake.
"ophthalmo-",0,The eyes.
"-opia",0,A visual disorder.
"opistho-",0,Behind; to the rear.
"-opsia",0,A defect of vision.
"-opsis",0,Observation or perception; likeness.
"-opsy",0,Medical examination.
"opto-",0,Vision; light.
"-or",0,Someone or something that performs a given action.
"-or",1,Forming nouns denoting an abstract state or condition.
"-orama",0,A display or spectacle.
"orchido-",0,Testicle; orchid.
"organo-",0,Bodily organs; organic chemical compounds.
"-orium",0,A place for a particular function.
"ornitho-",0,A bird or birds.
"oro-",0,Mountains.
"oro-",1,The mouth.
"ortho-",0,Straight; correct; upright.
"-ory",0,A place having a particular function or character.
"-ory",1,Relating to or involving an action.
"-ose",0,Having a specified quality.
"-ose",1,Sugars and other carbohydrates.
"-osis",0,"Abstract nouns of action, state, or process."
"-osity",0,Forming nouns.
"-osmia",0,An abnormal condition of the sense of smell.
"osmo-",0,Osmosis.
"osteo-",0,The bones.
"-otic",0,Forming adjectives and nouns.
"oto-",0,The ears.
"-our",0,Forming nouns.
"-ous",0,Forming adjectives.
"out-",0,Surpassing; external; away from.
"ovario-",0,An ovary.
"over-",0,Excessively; extra; outer; above.
"ovi-",0,"Eggs, ova."
"oxy-",0,"Sharp, acid."
"oxy-",1,Oxygen.
"pachy-",0,Thick.
"paedo-",0,Child; relating to children.
"-pagus",0,Conjoined twins.
"palaeo-",0,Ancient.
"palato-",0,Palate.
"palin-",0,Again.
"pan-",0,All-inclusive.
"pancreato-",0,The pancreas.
"papillo-",0,A papilla.
"papulo-",0,A papule.
"para-",0,Beside; adjacent to.
"para-",1,Protection; parachuting.
"parieto-",0,Body cavity; hollow structure.
"-parous",0,Bearing; producing.
"partheno-",0,Without fertilization.
"patho-",0,Disease.
"-pathy",0,Disease or disorder; treatment of disease.
"patri-",0,Father.
"-ped",0,Having feet of a given type or number.
"pedi-",0,Foot.
"-pedia",0,Compendium of information.
"pedo-",0,Soil or soil types.
"pelvi-",0,The pelvis.
"pene-",0,Almost; nearly.
"-penia",0,Deficiency in a component of the blood.
"penta-",0,Five; having five.
"per-",0,Through; all over; completely.
"peri-",0,Round; about.
"pero-",0,Deformity.
"-person",0,Gender-neutral alternative to �man� in compounds.
"peta-",0,"In units of measurement, a factor of 1015."
"-petal",0,Seeking; moving towards.
"petro-",0,Rocks; petroleum.
"-pexy",0,Surgical operation for fixing an organ in position.
"phaco-",0,Lens of the eye; lens shaped.
"phaeo-",0,Dusky.
"phago-",0,"Feeding, eating."
"-phagy",0,Feeding or subsisting on a specified food.
"phallo-",0,Penis.
"-phane",0,Having a given appearance.
"phanero-",0,Visible.
"pharmaco-",0,"Drugs, medicines."
"pharyngo-",0,Pharynx.
"-phasia",0,Speech disorder.
"pheno-",0,Benzene compounds; showing.
"-phile",0,Lover of or enthusiast for; having an affinity with a given thing.
"philo-",0,Liking for a specified thing.
"phlebo-",0,A vein.
"-phobia",0,Extreme or irrational fear or dislike.
"-phone",0,Sound.
"phono-",0,Sound.
"-phore",0,"An agent, bearer, or producer of a specified thing."
"phospho-",0,Phosphorus; light.
"photo-",0,Light; photography.
"-phrenia",0,Mental disorder.
"-phyceae",0,Alga.
"phyco-",0,Seaweeds and algae.
"-phyll",0,Leaf.
"phyllo-",0,Leaf.
"phylo-",0,Race; group.
"-phyre",0,Porphyritic rocks.
"physico-",0,Physical; physical and �
"physio-",0,Nature; physiology.
"physo-",0,Air or gas.
"-phyte",0,A plant or plant-like organism.
"phyto-",0,A plant.
"pico-",0,"In units of measurement, a factor of 10-12."
"picro-",0,Bitter tasting; picric acid.
"piezo-",0,Pressure.
"pilo-",0,Hair.
"pinni-",0,"Wings, fins, or feathers."
"pisci-",0,Fish.
"-pithecus",0,Genera of fossil apes.
"placo-",0,A plate.
"plagio-",0,Oblique.
"plano-",0,Level or flat.
"-plasm",0,Growth or development; living substance; tissue.
"plasmo-",0,Plasma or plasm.
"-plasty",0,Reconstructive surgery.
"platino-",0,Platinum.
"platy-",0,Broad or flat.
"-plegia",0,Paralysis.
"pleo-",0,More.
"pleuro-",0,The pleurae; the side of the body.
"-plex",0,Having a given number of parts or units.
"-ploid",0,The number of sets of chromosomes in a cell.
"-ploitation",0,Commercial exploitation in film and other media.
"plumbo-",0,Lead.
"pluri-",0,Several.
"pneumo-",0,The lungs; air or gas; spirit.
"-pnoea",0,"Breath, respiration."
"-pod",0,Foot or feet.
"podo-",0,Foot.
"-poiesis",0,"Production, formation."
"poikilo-",0,Variegated; variable.
"polio-",0,Tissue in the nervous system; grey matter.
"-polis",0,A city.
"politico-",0,Politically; political and �
"poly-",0,"Many, much."
"porno-",0,Pornography.
"poro-",0,A pore.
"post-",0,After in time or order.
"postero-",0,Posterior.
"-praxia",0,Action; practice.
"pre-",0,Prior to; before; earlier; in front of.
"presby-",0,Elder; aging or old age.
"preter-",0,More than.
"pro-",0,"Favour or support; forwards, out, or away; substitute or deputy."
"pro-",1,"Before in time, place, order, etc."
"procto-",0,Anus or rectum.
"prop-",0,A three-carbon chain of atoms.
"proso-",0,"Towards, forward, anterior."
"prosopo-",0,Face; person.
"proteo-",0,Protein.
"proto-",0,Original or first; primitive or ancestral.
"pseudo-",0,False; imitative.
"psilo-",0,"Bare, smooth."
"psycho-",0,The mind; psychology.
"-ptera",0,Winged animals.
"pterido-",0,A fern.
"ptero-",0,A wing.
"pterygo-",0,Wing-like.
"ptyalo-",0,Saliva; salivary gland.
"pur-",0,"Forwards, out, or away."
"pycno-",0,Compact; dense.
"pyelo-",0,The pelvis of the kidney.
"pygo-",0,The buttocks.
"pyloro-",0,The pylorus.
"pyo-",0,Pus.
"pyro-",0,Fire.
"quadri-",0,Four; having four parts; square.
"quasi-",0,Seemingly; apparently but not really; partly or almost.
"quinque-",0,Five; having five parts.
"quinti-",0,Five; the fifth in a series.
"rachi-",0,The spine.
"radio-",0,Radiation; radio waves.
"radio-",1,The radius bone.
"re-",0,Again; back.
"recti-",0,Straight; right; correct.
"recto-",0,The rectum.
"-rel",0,Forming nouns.
"reni-",0,The kidneys; kidney-shaped.
"reticulo-",0,Net-like; reticulated.
"retino-",0,The retina.
"retro-",0,Directed backwards; behind.
"rhabdo-",0,A rod or rodlike structure.
"rheo-",0,Current or flow.
"rhino-",0,The nose.
"rhizo-",0,A root or roots.
"rhodo-",0,Rose-coloured.
"rhyncho-",0,Snout or beak.
"roentgeno-",0,X-rays.
"Romano-",0,Roman; Roman and �
"-rrhagia",0,An excessive flow or discharge.
"-rrhaphy",0,Surgical sewing or suturing.
"-rrhoea",0,Discharge; flow.
"Russo-",0,Russian; Russian and �
"-s",0,Noun plurals.
"-s",1,Third person singular of the present tense of verbs.
"-s",2,Nicknames or pet names.
-s',0,Plural possessive nouns.
"saccharo-",0,Sugar.
"sacro-",0,Sacrum.
"salpingo-",0,Fallopian tube.
"-san",0,Japanese honorific.
"sangui-",0,Blood.
"sapro-",0,Putrefaction or decay.
"sarco-",0,Flesh or fleshy tissue; muscle.
"-saur",0,"Reptiles, especially extinct ones."
"sauro-",0,Lizard.
"-scape",0,"A specified type of scene, or a representation of it."
"scapho-",0,Boat-shaped.
"scapulo-",0,The shoulder blade.
"scato-",0,Dung or excrement.
"schisto-",0,Fissure or split.
"schizo-",0,Divided or split.
"sclero-",0,Hard; hardening.
"-scope",0,"An instrument for observing, viewing, or examining something."
"Scoto-",0,Scotland or the Scots; Scotland and �
"scoto-",1,Darkness.
"scypho-",0,Cup-shaped.
"se-",0,Apart; without.
"sebo-",0,"Oil, fat, or grease."
"-sect",0,Divided or cut.
"seismo-",0,An earthquake.
"seleno-",0,The moon.
"seleno-",1,Selenium.
"self-",0,"Oneself, itself."
"semi-",0,Half; a part.
"semio-",0,Sign; communication.
"-sepalous",0,Having sepals of a given type.
"septi-",0,Seven.
"Serbo-",0,Serbian; Serbian and �
"seric-",0,Silk.
"sero-",0,Serum; a serous membrane.
"sesqui-",0,One and one half.
"seti-",0,A bristle.
"sexi-",0,Six.
"-ship",0,Forming abstract nouns.
"sialo-",0,Saliva; salivary gland.
"sidero-",0,Iron.
"silico-",0,Silicon.
"sinistro-",0,Left; the left side; left-handed.
"sino-",0,A sinus.
"Sino-",1,Chinese; China and �
"siphono-",0,Siphon.
"sito-",0,Food.
"Slavo-",0,Slavs; Slavonic languages in relation to others.
"-smith",0,A skilled worker with a specified material.
"-soever",0,Of any kind; to any extent.
"-sol",0,Soil.
"somato-",0,The body.
"-some",0,Forming adjectives.
"-some",1,A group of a specified number.
"-some",2,"A part of a body, especially a cell."
"-something",0,A person whose age falls into a given decade.
"somni-",0,Sleep.
"sono-",0,Sound.
"-sophy",0,A system of thought.
"sous-",0,Subordinate; beneath.
"spasmo-",0,A spasm.
"-speak",0,A manner of speaking.
"spectro-",0,Spectrum.
"-sperm",0,Seed.
"spermato-",0,Semen or sperm.
"spheno-",0,Wedge-shaped.
"-sphere",0,A broadly spherical object or region.
"sphero-",0,A sphere; spherical.
"sphingo-",0,Compounds isolated from the brain and nervous tissue.
"sphygmo-",0,The pulse.
"spini-",0,Thorn or spine; the spine or spinal cord.
"spiro-",0,Spiral; coiled.
"spiro-",1,The breath; breathing.
"splanchno-",0,The viscera; intestines.
"spleno-",0,The spleen.
"spondylo-",0,A vertebra.
"spongio-",0,A sponge; sponge-like.
"-spore",0,A spore.
"sporo-",0,A spore.
"squamo-",0,A scale.
"stanno-",0,Tin.
"staphylo-",0,The uvula; a bunch or cluster.
"-stasis",0,Slowing down; stopping.
"-stat",0,Something that maintains a controlled state.
"stato-",0,Resting; equilibrium; balance.
"steato-",0,Fat.
"stego-",0,Covered; hidden.
"steno-",0,Small; constricted.
"step-",0,A relationship resulting from a remarriage.
"-ster",0,A person or thing associated with an activity or quality.
"stercor-",0,Faeces; dung.
"stereo-",0,Solid; three-dimensional.
"sterno-",0,The breastbone or sternum.
"-sterol",0,A sterol.
"-sterone",0,A steroid hormone.
"stibo-",0,Antimony.
"stomato-",0,The mouth; a opening.
"-stome",0,A mouth.
"-stomy",0,A surgical operation to create an opening in an organ.
"strati-",0,A layer; layered.
"strepto-",0,Twisted.
"-stress",0,A female person associated with a specific activity.
"-style",0,In a characteristic manner.
"-style",1,Having columns of a specified type.
"stylo-",0,Style; stylus.
"stylo-",1,"A column, pillar, or tube."
"sub-",0,A lower level or position; somewhat or nearly; secondary action.
"sulpha-",0,A drug derived from sulphanilamide.
"sulpho-",0,Sulphur.
"super-",0,"Above, over, or beyond; great or large; of a higher kind."
"supra-",0,Over or above; transcending.
"sur-",0,"Over, above, beyond; additional."
"-sy",0,Forming nouns and adjectives.
"syn-",0,United; acting or considered together; alike.
"synchro-",0,Synchronous.
"syndesmo-",0,"Connective tissue, especially ligaments."
"syringo-",0,A tube or long cavity; a fistula.
"tacho-",0,Speed.
"tachy-",0,Rapid.
"taeni-",0,Ribbon; tapeworm.
"talo-",0,The ankle bone.
"-tard",0,"Mainly in the US, a stupid or annoying person."
"tarso-",0,The tarsus.
"-tastic",0,"Something outstanding, superb, or excellent."
"tauro-",0,Ox or bull.
"tauto-",0,The same.
"-taxis",0,Arrangement or order; movement in response to an external stimulus.
"taxo-",0,"Order, arrangement, classification."
"-technics",0,A technology or skill.
"techno-",0,"Technology, especially its impact or implications."
"tectono-",0,Tectonics.
"-teen",0,Forming the names of numerals from 13 to 19.
"tele-",0,To or at a distance.
"teleo-",0,Perfect; complete.
"telluro-",0,Tellurium; the earth.
"telo-",0,End; purpose.
"temporo-",0,The temporal bones.
"-tene",0,Stages in cell division.
"teno-",0,A tendon.
"tephro-",0,Ash; ash-coloured.
"ter-",0,Three; having three.
"tera-",0,"In units of measurement, a factor of 1012, a million million."
"terato-",0,Monsters or abnormal forms.
"-teria",0,A self-service establishment.
"tetano-",0,Tetanus.
"tetra-",0,Four; having four.
"-th",0,Forming ordinal and fractional numbers.
"-th",1,Forming nouns.
"thalamo-",0,The thalamus.
"thalasso-",0,The sea.
"thallo-",0,A thallus; thallium.
"thanato-",0,Death.
"thaumato-",0,Wonder or miracle.
"-thelium",0,A layer of body tissue.
"theo-",0,God or deities.
"therio-",0,An animal.
"-therium",0,An animal genus.
"-therm",0,Temperature; heat.
"thermo-",0,Heat; temperature.
"thio-",0,Sulphur
"thoraco-",0,The chest or thorax.
"thrombo-",0,Blood clotting.
"-thymia",0,A condition of the mind.
"thymo-",0,The thymus.
"thyro-",0,The thyroid.
"tibio-",0,The tibia.
"-tide",0,A festival of the Christian Church; a specified time or season.
"titano-",0,"Gigantic, huge."
"titano-",1,Titanium.
"toco-",0,Childbirth; reproduction.
"-tome",0,An instrument for cutting; a section or segment.
"-tomy",0,Cutting.
"-tonia",0,Muscle tone or tension; a personality state.
"tono-",0,tension; tone.
"-topia",0,A place with specified characteristics.
"topo-",0,Place; position.
"toxi-",0,Toxin; toxic.
"tracheo-",0,The trachea.
"trans-",0,Across; beyond; through.
"tri-",0,Three; having three.
"tribo-",0,Friction.
"tricho-",0,Hair.
"-trichous",0,Hairy; having hair.
"trito-",0,Third.
"-trix",0,Forming feminine agent nouns.
"trocho-",0,Wheel-like.
"-tron",0,A subatomic particle; an instrument or device.
"-trope",0,Form; type; affinity.
"-trophic",0,Nutrition; feeding.
"tropho-",0,Nourishment.
"-tropic",0,Turning; changing; affecting.
"-tropism",0,Preferential growth or movement of an organism.
"tropo-",0,Turning; change.
"-tropy",0,Forming nouns that correspond to adjectives in -tropic.
"tubo-",0,A tube.
"-tude",0,Forming abstract nouns.
"turbo-",0,A turbine.
"Turco-",0,Turkish; Turkish and �
"-ty",0,Forming nouns.
"-ty",1,Groups of ten.
"tympano-",0,The drum or eardrum.
"uber-",0,Superior.
"-ula",0,Forming diminutive nouns.
"-ule",0,Forming nouns.
"-ulent",0,Abounding in; full of.
"ulno-",0,The ulna.
"ultra-",0,Beyond; extreme.
"un-",0,Negation; reversal of a state.
"-uncle",0,"Forming nouns, chiefly diminutives."
"undeca-",0,Eleven.
"under-",0,Below.
"uni-",0,One; having or consisting of one.
"unnil-",0,Certain transuranic elements.
"up-",0,Up; upwards; higher; increased.
"-up",0,An activity.
"ur-",0,Primitive; original; earliest.
"urano-",0,The heavens; the palate.
"urano-",1,Uranium.
"ure-",0,Urea.
"-ure",0,Forming nouns.
"-ure",1,Forming nouns.
"-uret",0,A binary compound.
"uretero-",0,The ureter.
"urethro-",0,The urethra.
"-urgy",0,The art or process for working with something.
"-uria",0,"A substance present in the urine, especially in excess."
"urino-",0,Urine; the urinary system.
"uro-",0,The tail or the tail part of the body.
"uro-",1,Urine or the urinary organs.
"utero-",0,The uterus.
"-ution",0,Forming nouns.
"vagino-",0,The vagina.
"vago-",0,The vagus nerve.
"-valent",0,Combining power.
"varico-",0,A varicose vein.
"vaso-",0,A vessel.
"veno-",0,A vein.
"ventriculo-",0,A ventricle.
"vermi-",0,A worm.
"vesico-",0,A blister; the urinary bladder.
"vibro-",0,Oscillation; shaking.
"vice-",0,Deputy; assistant.
"viginti-",0,Twenty.
"-ville",0,A fictitious place indicating some quality.
"vini-",0,Wine.
"viro-",0,A virus.
"viscero-",0,The viscera.
"visco-",0,Sticky; thick.
"visuo-",0,Sight; vision.
"vitelli-",0,The yolk of an egg.
"vitro-",0,Glass; glassy.
"vivi-",0,Alive; living.
"-vore",0,An organism living on a given type of food.
"vulvo-",0,"The female external genitals, the vulva."
"-ward",0,In a specified direction.
"-ware",0,Items of a specified type or for a given purpose; classes of computer applications.
"-ways",0,"Way, direction, or manner."
"-wide",0,Extending throughout the specified area or scope.
"-wise",0,In a given way or manner; with respect to or concerning.
"with-",0,"Away, back, against, in opposition to."
"-woman",0,Woman.
"-word",0,In reference to a word that may be offensive.
"-work",0,Things made of a specified material or in a particular way.
"-worthy",0,Deserving; suitable or fit for.
"-x",0,Forming the plural of many nouns ending in -u taken from French.
"xantho-",0,Yellow.
"xeno-",0,Foreign; different.
"xero-",0,Dry.
"xipho-",0,Sword; sword-shaped.
"xylo-",0,Wood.
"y-",0,An archaic form marking the past participle.
"-y",0,Full of; having the quality of; inclined to; apt to.
"-y",1,"Forming affectionate or pet names, or nouns that imply smallness."
"-y",2,"A quality, state, action, or entity."
"yester-",0,Yesterday.
"-yl",0,Forming names of chemical radicals.
"-yne",0,Hydrocarbons containing a triple bond.
"zetta-",0,"In units of measurement, a factor of 1021 or one sextillion."
"-zoic",0,Relating to a given geological aeon or era.
"zoo-",0,Animal; animal life.
"-zoon",0,Types of animal.
"zygo-",0,Joining or pairing.
"zymo-",0,Enzymes or fermentation.
